Name,x,y,z,vx,vy,vz,Inclination,Eccentricity,MeanMotion,TimestampUTC
CALSPHERE 1,2431.4313025575275,5668.762753835773,-4034.6415694702905,1.6390478283675134,3.6842537854963817,6.140922258089294,1.5746552497710562,0.0025449,0.060053086575327354,2025-11-18T04:35:45.597181+00:00
CALSPHERE 2,-2296.6809515060713,-6531.247809453015,2692.5563343173535,-0.9354811313540884,-2.506794267807364,-6.826983176676678,1.5749065771833433,0.0020218,0.05903051623074163,2025-11-18T04:35:45.618218+00:00
LCS 1,-8477.531013352964,111.94385480172224,-3508.437788683153,0.9156068527304434,-6.05648896834516,-2.4269244914114094,0.5610430693705852,0.0013365,0.043166758852373734,2025-11-18T04:35:45.630444+00:00
TEMPSAT 1,2957.1920932799694,1885.5407187642254,-6682.155601976037,-5.405240044028535,-3.418711028734442,-3.4074951834011302,1.570616557881941,0.0070992,0.058188359436470556,2025-11-18T04:35:45.643735+00:00
CALSPHERE 4A,-3038.8794218096364,4479.768724854148,-5133.987258303677,-2.8173690344497495,4.162226253594954,5.332801972826145,1.5691906238830617,0.0069237,0.05830412359146361,2025-11-18T04:35:45.662550+00:00
OPS 5712 (P/L 160),-2197.876136256574,1884.392338228927,-6407.174615160623,-6.950156635567888,-2.3207972149258778,1.7027746116253732,1.2203097783849073,0.0004747,0.06429792126589069,2025-11-18T04:35:45.678124+00:00
LES-5,37618.469750812284,12684.55853822204,-1553.0671471709722,-0.9959854450089951,3.008874133954561,0.013188513966351189,0.03718773037224318,0.0055476,0.004774565200522974,2025-11-18T04:35:45.692363+00:00
SURCAL 159,-2256.579978584661,4609.418507634822,5143.633713925532,-1.1819188978972206,-5.699940773466347,4.583130681707743,1.2212540015102362,0.0005727,0.06106606144875146,2025-11-18T04:35:45.707553+00:00
OPS 5712 (P/L 153),6489.1491256753125,2397.4112997454226,2267.4003690534623,1.0991046065635317,3.2578777479191383,-6.556452042503482,1.221264473485748,0.0004762,0.06094621235064412,2025-11-18T04:35:45.719435+00:00
OPS 3811 (DSP 2),40402.174489127305,-13858.892479283237,62.53340015562083,0.9976716320503066,2.889376242760138,0.014273241555979777,0.006415830330331155,0.00239,0.004283046056541875,2025-11-18T04:35:45.730956+00:00
RIGIDSPHERE 2 (LCS 4),-3900.29418309165,-2675.208686432637,5339.2637742802835,-4.334541204495691,-3.519872068841092,-4.9766331271513815,1.5293220677797554,0.0058975,0.06272274102108064,2025-11-18T04:35:45.742637+00:00
OSCAR 7 (AO-7),-4895.244502464586,4186.514545048226,-4444.954930135038,4.14039960420744,-1.1847518523769085,-5.6915604171466745,1.7801939491321683,0.0012199,0.05470269423220538,2025-11-18T04:35:45.754299+00:00
STARLETTE,-938.6735236935712,5059.482971724731,-5434.494998591235,-6.35451545158432,-2.9683864100126347,-1.7174804156045436,0.8695701572333788,0.0205648,0.060316248367140606,2025-11-18T04:35:45.766482+00:00
LAGEOS 1,4766.844837730939,-1710.7479575323582,11196.549466478009,1.1444248118699447,-5.42248377818949,-1.2895182063025272,1.9170452157810436,0.0044663,0.027867012781202058,2025-11-18T04:35:45.778904+00:00
OPS 8701 (DSP 10),20417.21922404932,-37517.10277237874,-1538.0501051316862,2.6561464579666634,1.4235169070259868,0.498557972636222,0.16975072304896852,0.0006195,0.004284396505050606,2025-11-18T04:35:45.792293+00:00
PHASE 3B (AO-10),7909.404409838544,21459.378456038263,1009.0875428350229,-2.0559821622681627,3.6443228022346412,-1.4297608312167616,0.4560004283393065,0.6066807,0.008982911863211193,2025-11-18T04:35:45.806437+00:00
UOSAT 2 (UO-11),-487.78875374800447,4496.148064302792,-5319.201561846652,2.1468400162230075,-5.424656031512909,-4.792457217256961,1.7065288373932435,0.0008076,0.06501416926615797,2025-11-18T04:35:45.818498+00:00
AJISAI (EGS),-2748.3738514674255,-7301.6256725735475,1061.4690469213378,4.0439994373131745,-2.311983089548908,-5.376657532876349,0.8728217056298443,0.0011196,0.05430217419922878,2025-11-18T04:35:45.829314+00:00
TDRS 3,8981.121450398748,40213.981495648644,9268.35037959044,-2.990217659480369,0.6919907751547476,-0.05271307611618736,0.22280349632184013,0.0040966,0.004374874722539841,2025-11-18T04:35:45.841891+00:00
COSMOS 1989 (ETALON 1),-5996.2480044010845,15923.826942200298,19066.319660535955,-1.5439148577556825,-3.012956925116637,2.0259217203894124,1.1313468557522524,0.0023422,0.009300685574551359,2025-11-18T04:35:45.855261+00:00
COSMOS 2024 (ETALON 2),-18281.072850863544,17659.390676478935,1449.1990997260552,-1.3110957092853472,-1.0690262913205266,-3.580661068675657,1.1356194217611344,0.002044,0.009302804186097123,2025-11-18T04:35:45.866708+00:00
FLTSATCOM 8 (USA 46),-13366.386036033233,-38959.14937904933,-8916.341779345496,2.9163219318567655,-0.9707720708279058,-0.13062993465934847,0.21786072388019218,0.0006319,0.0043747930847640795,2025-11-18T04:35:45.879943+00:00
LUSAT (LO-19),6116.454060252695,-2705.2621929487304,-2575.3486190945027,1.9097671672420078,-2.1847806093622704,6.866387728901804,1.7260922329788482,0.0012601,0.06257129797285368,2025-11-18T04:35:45.891399+00:00
HST,-4642.733556137771,-4627.682995689669,2015.0732867158622,4.315084249041892,-5.590732207845848,-2.883518504356045,0.49685509546998974,0.0001376,0.06665125027451711,2025-11-18T04:35:45.904184+00:00
SKYNET 4C,-39515.06973246078,14566.185257558654,2031.416597358938,-1.0666093859357715,-2.7985099965450346,-0.6962190849331749,0.23400676479039173,0.0002772,0.0043753213959286585,2025-11-18T04:35:45.916420+00:00
USA 65 (DSP 15),24740.959261626867,33418.531274279,9669.70019494602,-2.4838523940960497,1.759204839563988,0.2737564005081644,0.24674417767144632,0.0001868,0.0042934291511616835,2025-11-18T04:35:45.928317+00:00
TDRS 5,31656.38362911638,-27132.362388689933,-6167.538921087678,2.03276431051674,2.2298754642055014,0.5975955264679271,0.2460565179461606,0.0013491,0.004375284438581748,2025-11-18T04:35:45.940481+00:00
USA 75 (DSP 16),-22298.563969941155,-34811.59043069212,-9757.674574894161,2.6016277638880285,-1.5981010664058615,-0.24621136179343941,0.24643874505234734,0.0001832,0.004327884088624385,2025-11-18T04:35:45.952350+00:00
LAGEOS 2,-3443.6442615411343,6500.200234790499,9470.137511784744,-4.705665526370573,-3.3514705201734056,0.567452250259469,0.9192771343301773,0.013782,0.028243505302698767,2025-11-18T04:35:45.964714+00:00
TDRS 6,7366.012082559309,40267.48285284948,10206.881244371718,-3.026176995536508,0.5215763493461624,0.11582306787868403,0.247463253323268,0.000995,0.004374925162555225,2025-11-18T04:35:45.978217+00:00
SCD 1,-4152.403210017356,5091.958836477566,2642.250604217507,-5.302532777281813,-5.116305382406,1.5159697726777233,0.43579475158896813,0.0042191,0.06309249229560798,2025-11-18T04:35:45.992271+00:00
